,HouseNumber,Street,StreetSuffix,City,State,Zip,StreetName,Address,StateName,Zip4,AddressType,RBDI,Active,Fips,County,ResultCode,MAK,
0,116,19th,Ter,Cape Coral,FL,33990,,116 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,9586730827,
1,120,19th,Ter,Cape Coral,FL,33990,,120 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,7995891203,
2,128,19th,Ter,Cape Coral,FL,33990,,128 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,5665627109,
3,129,19th,Ter,Cape Coral,FL,33990,,129 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,7857484839,
4,132,19th,Ter,Cape Coral,FL,33990,,132 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,5331981772,
5,133,19th,Ter,Cape Coral,FL,33990,,133 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,4939482703,
6,136,19th,Ter,Cape Coral,FL,33990,,136 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,2147080942,
7,137,19th,Ter,Cape Coral,FL,33990,,137 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,2343253511,
8,140,19th,Ter,Cape Coral,FL,33990,,140 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,1098993998,
9,141,19th,Ter,Cape Coral,FL,33990,,141 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,4555526639,
10,145,19th,Ter,Cape Coral,FL,33990,,145 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,5281992899,
11,148,19th,Ter,Cape Coral,FL,33990,,148 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,7231698709,
12,149,19th,Ter,Cape Coral,FL,33990,,149 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,"AS01,AS16",5930601994,
13,152,19th,Ter,Cape Coral,FL,33990,,152 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,4937683999,
14,153,19th,Ter,Cape Coral,FL,33990,,153 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,4814371103,
15,156,19th,Ter,Cape Coral,FL,33990,,156 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,7233763143,
16,157,19th,Ter,Cape Coral,FL,33990,,157 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,5637560493,
17,160,19th,Ter,Cape Coral,FL,33990,,160 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,9367171768,
18,165,19th,Ter,Cape Coral,FL,33990,,165 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,4924424427,
19,166,19th,Ter,Cape Coral,FL,33990,,166 SE 19th Ter,Florida,2247,Street,Residential,Yes,12071,lee                      ,AS01,6775439448,
20,169,19th,Ter,Cape Coral,FL,33990,,169 SE 19th Ter,Florida,2271,Street,Residential,Yes,12071,lee                      ,AS01,6465239288,
21,200,19th,Ter,Cape Coral,FL,33990,,200 SE 19th Ter,Florida,2250,Street,Residential,Yes,12071,lee                      ,AS01,2692992654,
22,203,19th,Ter,Cape Coral,FL,33990,,203 SE 19th Ter,Florida,505,Street,Residential,Yes,12071,lee                      ,AS01,3065209196,
23,204,19th,Ter,Cape Coral,FL,33990,,204 SE 19th Ter,Florida,2250,Street,Residential,Yes,12071,lee                      ,AS01,9372302845,
24,207,19th,Ter,Cape Coral,FL,33990,,207 SE 19th Ter,Florida,505,Street,Residential,Yes,12071,lee                      ,AS01,3115237747,
25,208,19th,Ter,Cape Coral,FL,33990,,208 SE 19th Ter,Florida,2250,Street,Residential,Yes,12071,lee                      ,AS01,8018583543,
26,211,19th,Ter,Cape Coral,FL,33990,,211 SE 19th Ter,Florida,505,Street,Residential,Yes,12071,lee                      ,AS01,5633302257,
27,212,19th,Ter,Cape Coral,FL,33990,,212 SE 19th Ter,Florida,2250,Street,Residential,Yes,12071,lee                      ,AS01,8168056588,
28,215,19th,Ter,Cape Coral,FL,33990,,215 SE 19th Ter,Florida,505,Street,Residential,Yes,12071,lee                      ,AS01,8141829385,
29,216,19th,Ter,Cape Coral,FL,33990,,216 SE 19th Ter,Florida,2250,Street,Residential,Yes,12071,lee                      ,AS01,3245403743,
30,219,19th,Ter,Cape Coral,FL,33990,,219 SE 19th Ter,Florida,505,Street,Residential,Yes,12071,lee                      ,AS01,7941431482,
31,220,19th,Ter,Cape Coral,FL,33990,,220 SE 19th Ter,Florida,2250,Street,Residential,Yes,12071,lee                      ,AS01,2286943388,
32,301,19th,Ter,Cape Coral,FL,33990,,301 SE 19th Ter,Florida,2251,Street,Residential,Yes,12071,lee                      ,AS01,3559894259,
33,302,19th,Ter,Cape Coral,FL,33990,,302 SE 19th Ter,Florida,506,Street,Residential,Yes,12071,lee                      ,AS01,3058798486,
34,305,19th,Ter,Cape Coral,FL,33990,,305 SE 19th Ter,Florida,2251,Street,Residential,Yes,12071,lee                      ,AS01,4138675127,
35,306,19th,Ter,Cape Coral,FL,33990,,306 SE 19th Ter,Florida,506,Street,Residential,Yes,12071,lee                      ,AS01,9549388448,
36,309,19th,Ter,Cape Coral,FL,33990,,309 SE 19th Ter,Florida,2251,Street,Residential,Yes,12071,lee                      ,AS01,7191527709,
37,310,19th,Ter,Cape Coral,FL,33990,,310 SE 19th Ter,Florida,506,Street,Residential,Yes,12071,lee                      ,AS01,6876279606,
38,313,19th,Ter,Cape Coral,FL,33990,,313 SE 19th Ter,Florida,2251,Street,Residential,Yes,12071,lee                      ,AS01,9559523555,
39,314,19th,Ter,Cape Coral,FL,33990,,314 SE 19th Ter,Florida,506,Street,Residential,Yes,12071,lee                      ,AS01,8286791652,
40,317,19th,Ter,Cape Coral,FL,33990,,317 SE 19th Ter,Florida,2251,Street,Residential,Yes,12071,lee                      ,AS01,8265165044,
41,318,19th,Ter,Cape Coral,FL,33990,,318 SE 19th Ter,Florida,506,Street,Residential,Yes,12071,lee                      ,AS01,9240599586,
42,321,19th,Ter,Cape Coral,FL,33990,,321 SE 19th Ter,Florida,2251,Street,Residential,Yes,12071,lee                      ,"AS01,AS16",7443238839,
43,400,19th,Ter,Cape Coral,FL,33990,,400 SE 19th Ter,Florida,2252,Street,Residential,Yes,12071,lee                      ,AS01,9941506745,
44,403,19th,Ter,Cape Coral,FL,33990,,403 SE 19th Ter,Florida,507,Street,Residential,Yes,12071,lee                      ,AS01,3495205109,
45,404,19th,Ter,Cape Coral,FL,33990,,404 SE 19th Ter,Florida,2252,Street,Residential,Yes,12071,lee                      ,AS01,7604647487,
46,407,19th,Ter,Cape Coral,FL,33990,,407 SE 19th Ter,Florida,507,Street,Residential,Yes,12071,lee                      ,AS01,7326273291,
47,408,19th,Ter,Cape Coral,FL,33990,,408 SE 19th Ter,Florida,2252,Street,Residential,Yes,12071,lee                      ,AS01,9311060407,
48,411,19th,Ter,Cape Coral,FL,33990,,411 SE 19th Ter,Florida,507,Street,Residential,Yes,12071,lee                      ,AS01,1574756246,
49,412,19th,Ter,Cape Coral,FL,33990,,412 SE 19th Ter,Florida,2252,Street,Residential,Yes,12071,lee                      ,AS01,4515138350,
50,415,19th,Ter,Cape Coral,FL,33990,,415 SE 19th Ter,Florida,507,Street,Residential,Yes,12071,lee                      ,AS01,2617006211,
51,416,19th,Ter,Cape Coral,FL,33990,,416 SE 19th Ter,Florida,2252,Street,Residential,Yes,12071,lee                      ,AS01,4765569867,
52,419,19th,Ter,Cape Coral,FL,33990,,419 SE 19th Ter,Florida,507,Street,Residential,Yes,12071,lee                      ,AS01,7515030474,
53,423,19th,Ter,Cape Coral,FL,33990,,423 SE 19th Ter,Florida,507,Street,Residential,Yes,12071,lee                      ,AS01,3851360374,
54,426,19th,Ter,Cape Coral,FL,33990,,426 SE 19th Ter,Florida,2252,Street,Residential,Yes,12071,lee                      ,AS01,1563026009,
55,427,19th,Ter,Cape Coral,FL,33990,,427 SE 19th Ter,Florida,507,Street,Residential,Yes,12071,lee                      ,AS01,2408864658,
56,430,19th,Ter,Cape Coral,FL,33990,,430 SE 19th Ter,Florida,2252,Street,Residential,Yes,12071,lee                      ,AS01,6357050100,
57,504,19th,Ter,Cape Coral,FL,33990,,504 SE 19th Ter,Florida,2285,Street,Residential,Yes,12071,lee                      ,AS01,3814890046,
58,510,19th,Ter,Cape Coral,FL,33990,,510 SE 19th Ter,Florida,2285,Street,Residential,Yes,12071,lee                      ,AS01,8397165320,
59,601,19th,Ter,Cape Coral,FL,33990,,601 SE 19th Ter,Florida,2357,Street,Residential,Yes,12071,lee                      ,AS01,4658941051,
60,602,19th,Ter,Cape Coral,FL,33990,,602 SE 19th Ter,Florida,2356,Street,Residential,Yes,12071,lee                      ,AS01,8041359310,
61,605,19th,Ter,Cape Coral,FL,33990,,605 SE 19th Ter,Florida,2357,Street,Residential,Yes,12071,lee                      ,AS01,5853166890,
62,606,19th,Ter,Cape Coral,FL,33990,,606 SE 19th Ter,Florida,2356,Street,Residential,Yes,12071,lee                      ,AS01,8350353921,
63,609,19th,Ter,Cape Coral,FL,33990,,609 SE 19th Ter,Florida,2357,Street,Residential,Yes,12071,lee                      ,AS01,1791990736,
64,610,19th,Ter,Cape Coral,FL,33990,,610 SE 19th Ter,Florida,2356,Street,Residential,Yes,12071,lee                      ,AS01,2525035784,
65,614,19th,Ter,Cape Coral,FL,33990,,614 SE 19th Ter,Florida,2356,Street,Residential,Yes,12071,lee                      ,AS01,9739776653,
66,615,19th,Ter,Cape Coral,FL,33990,,615 SE 19th Ter,Florida,2357,Street,Residential,Yes,12071,lee                      ,AS01,7695820599,
67,619,19th,Ter,Cape Coral,FL,33990,,619 SE 19th Ter,Florida,2357,Street,Residential,Yes,12071,lee                      ,AS01,9622201350,
68,620,19th,Ter,Cape Coral,FL,33990,,620 SE 19th Ter,Florida,2356,Street,Residential,Yes,12071,lee                      ,AS01,2349306889,
69,623,19th,Ter,Cape Coral,FL,33990,,623 SE 19th Ter,Florida,2357,Street,Residential,Yes,12071,lee                      ,AS01,8940377534,
70,624,19th,Ter,Cape Coral,FL,33990,,624 SE 19th Ter,Florida,2356,Street,Residential,Yes,12071,lee                      ,AS01,8690119610,
71,628,19th,Ter,Cape Coral,FL,33990,,628 SE 19th Ter,Florida,2356,Street,Residential,Yes,12071,lee                      ,AS01,7850009832,
72,903,19th,Ter,Cape Coral,FL,33990,,903 SE 19th Ter,Florida,2359,Street,Residential,Yes,12071,lee                      ,AS01,6868919484,
73,904,19th,Ter,Cape Coral,FL,33990,,904 SE 19th Ter,Florida,2358,Street,Residential,Yes,12071,lee                      ,"AS01,AS17",4251317065,
74,907,19th,Ter,Cape Coral,FL,33990,,907 SE 19th Ter,Florida,2359,Street,Residential,Yes,12071,lee                      ,"AS01,AS17",8395391315,
75,908,19th,Ter,Cape Coral,FL,33990,,908 SE 19th Ter,Florida,2358,Street,Residential,Yes,12071,lee                      ,AS01,5672142642,
76,911,19th,Ter,Cape Coral,FL,33990,,911 SE 19th Ter,Florida,2359,Street,Residential,Yes,12071,lee                      ,AS01,7940285761,
77,912,19th,Ter,Cape Coral,FL,33990,,912 SE 19th Ter,Florida,2358,Street,Residential,Yes,12071,lee                      ,AS01,2557781694,
78,915,19th,Ter,Cape Coral,FL,33990,,915 SE 19th Ter,Florida,2359,Street,Residential,Yes,12071,lee                      ,AS01,9251008811,
79,916,19th,Ter,Cape Coral,FL,33990,,916 SE 19th Ter,Florida,2358,Street,Residential,Yes,12071,lee                      ,AS01,9070136230,
80,919,19th,Ter,Cape Coral,FL,33990,,919 SE 19th Ter,Florida,2359,Street,Residential,Yes,12071,lee                      ,AS01,2259875798,
81,920,19th,Ter,Cape Coral,FL,33990,,920 SE 19th Ter,Florida,2358,Street,Residential,Yes,12071,lee                      ,AS01,1455798638,
82,923,19th,Ter,Cape Coral,FL,33990,,923 SE 19th Ter,Florida,2359,Street,Residential,Yes,12071,lee                      ,AS01,5374990967,
83,924,19th,Ter,Cape Coral,FL,33990,,924 SE 19th Ter,Florida,2358,Street,Residential,Yes,12071,lee                      ,AS01,5989873539,
84,927,19th,Ter,Cape Coral,FL,33990,,927 SE 19th Ter,Florida,2359,Street,Residential,Yes,12071,lee                      ,AS01,7622963694,
85,928,19th,Ter,Cape Coral,FL,33990,,928 SE 19th Ter,Florida,2358,Street,Residential,Yes,12071,lee                      ,AS01,4146706135,
86,1102,19th,Ter,Cape Coral,FL,33990,,1102 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,6175283835,
87,1106,19th,Ter,Cape Coral,FL,33990,,1106 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,2063755940,
88,1110,19th,Ter,Cape Coral,FL,33990,,1110 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,5122593984,
89,1114,19th,Ter,Cape Coral,FL,33990,,1114 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,1086334035,
90,1117,19th,Ter,Cape Coral,FL,33990,,1117 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,4993141148,
91,1118,19th,Ter,Cape Coral,FL,33990,,1118 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,4620117418,
92,1121,19th,Ter,Cape Coral,FL,33990,,1121 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,4639863730,
93,1122,19th,Ter,Cape Coral,FL,33990,,1122 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,1794501010,
94,1125,19th,Ter,Cape Coral,FL,33990,,1125 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,9070869552,
95,1126,19th,Ter,Cape Coral,FL,33990,,1126 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,7982978676,
96,1129,19th,Ter,Cape Coral,FL,33990,,1129 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,9031402957,
97,1130,19th,Ter,Cape Coral,FL,33990,,1130 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,1185578045,
98,1133,19th,Ter,Cape Coral,FL,33990,,1133 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,8249729605,
99,1134,19th,Ter,Cape Coral,FL,33990,,1134 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,7632816101,
100,1137,19th,Ter,Cape Coral,FL,33990,,1137 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,9029652584,
101,1138,19th,Ter,Cape Coral,FL,33990,,1138 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,7423972975,
102,1141,19th,Ter,Cape Coral,FL,33990,,1141 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,7979531117,
103,1142,19th,Ter,Cape Coral,FL,33990,,1142 SE 19th Ter,Florida,4536,Street,Residential,Yes,12071,lee                      ,AS01,7553819797,
104,1145,19th,Ter,Cape Coral,FL,33990,,1145 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,8291640674,
105,1203,19th,Ter,Cape Coral,FL,33990,,1203 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,5397878003,
106,1204,19th,Ter,Cape Coral,FL,33990,,1204 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,8191113877,
107,1207,19th,Ter,Cape Coral,FL,33990,,1207 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,7567059345,
108,1208,19th,Ter,Cape Coral,FL,33990,,1208 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,1643642197,
109,1211,19th,Ter,Cape Coral,FL,33990,,1211 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,1319586487,
110,1212,19th,Ter,Cape Coral,FL,33990,,1212 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,7312344288,
111,1215,19th,Ter,Cape Coral,FL,33990,,1215 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,6357920879,
112,1216,19th,Ter,Cape Coral,FL,33990,,1216 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,1704149169,
113,1219,19th,Ter,Cape Coral,FL,33990,,1219 SE 19th Ter,Florida,4581,Street,Residential,Yes,12071,lee                      ,AS01,9752138561,
114,1220,19th,Ter,Cape Coral,FL,33990,,1220 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,6856312947,
115,1302,19th,Ter,Cape Coral,FL,33990,,1302 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,6042142121,
116,1305,19th,Ter,Cape Coral,FL,33990,,1305 SE 19th Ter,Florida,4582,Street,Residential,Yes,12071,lee                      ,AS01,1507551296,
117,1306,19th,Ter,Cape Coral,FL,33990,,1306 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,3496873713,
118,1309,19th,Ter,Cape Coral,FL,33990,,1309 SE 19th Ter,Florida,4582,Street,Residential,Yes,12071,lee                      ,AS01,4060332087,
119,1310,19th,Ter,Cape Coral,FL,33990,,1310 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,8094584009,
120,1313,19th,Ter,Cape Coral,FL,33990,,1313 SE 19th Ter,Florida,4582,Street,Residential,Yes,12071,lee                      ,AS01,5510917526,
121,1314,19th,Ter,Cape Coral,FL,33990,,1314 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,"AS01,AS17",4333228200,
122,1317,19th,Ter,Cape Coral,FL,33990,,1317 SE 19th Ter,Florida,4582,Street,Residential,Yes,12071,lee                      ,AS01,2826348181,
123,1318,19th,Ter,Cape Coral,FL,33990,,1318 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,5375615138,
124,1321,19th,Ter,Cape Coral,FL,33990,,1321 SE 19th Ter,Florida,4582,Street,Residential,Yes,12071,lee                      ,"AS01,AS17",2649033238,
125,1322,19th,Ter,Cape Coral,FL,33990,,1322 SE 19th Ter,Florida,4580,Street,Residential,Yes,12071,lee                      ,AS01,3202522184,
126,1325,19th,Ter,Cape Coral,FL,33990,,1325 SE 19th Ter,Florida,4582,Street,Residential,Yes,12071,lee                      ,AS01,4408774880,
127,1401,19th,Ter,Cape Coral,FL,33990,,1401 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,2471963970,
128,1402,19th,Ter,Cape Coral,FL,33990,,1402 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,2997276075,
129,1405,19th,Ter,Cape Coral,FL,33990,,1405 SE 19th Ter,Florida,5517,Street,Residential,Yes,12071,lee                      ,AS01,2533162331,
130,1406,19th,Ter,Cape Coral,FL,33990,,1406 SE 19th Ter,Florida,4538,Street,Residential,Yes,12071,lee                      ,AS01,4839202936,
